nodesNumber, voteP, GasUsed, agents
20, 0.5, 156181, 3
20, 0.5, 151263, 3
20, 0.5, 152885, 3
20, 0.5, 152087, 3
20, 0.5, 153709, 3
20, 0.5, 153709, 3
20, 0.5, 152087, 3
20, 0.5, 153709, 3
20, 0.5, 154533, 3
20, 0.5, 152087, 3
20, 0.5, 152885, 3
20, 0.5, 152885, 3
20, 0.5, 204725, 3
